product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0065,P-0065,P-0065.jpg,P-0065_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0066,P-0066,P-0066.jpg,P-0066_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0067,P-0067,P-0067.jpg,P-0067_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0068,P-0068,P-0068.jpg,P-0068_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0069,P-0069,P-0069.jpg,P-0069_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0070,P-0070,P-0070.jpg,P-0070_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0071,P-0071,P-0071.jpg,P-0071_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0072,P-0072,P-0072.jpg,P-0072_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0073,P-0073,P-0073.jpg,P-0073_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0074,P-0074,P-0074.jpg,P-0074_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0075,P-0075,P-0075.jpg,P-0075_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0076,P-0076,P-0076.jpg,P-0076_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0077,P-0077,P-0077.jpg,P-0077_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0078,P-0078,P-0078.jpg,P-0078_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0079,P-0079,P-0079.jpg,P-0079_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0080,P-0080,P-0080.jpg,P-0080_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0081,P-0081,P-0081.jpg,P-0081_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0082,P-0082,P-0082.jpg,P-0082_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0083,P-0083,P-0083.jpg,P-0083_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0084,P-0084,P-0084.jpg,P-0084_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0085,P-0085,P-0085.jpg,P-0085_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0086,P-0086,P-0086.jpg,P-0086_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0087,P-0087,P-0087.jpg,P-0087_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0088,P-0088,P-0088.jpg,P-0088_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0089,P-0089,P-0089.jpg,P-0089_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0090,P-0090,P-0090.jpg,P-0090_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0091,P-0091,P-0091.jpg,P-0091_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0092,P-0092,P-0092.jpg,P-0092_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0093,P-0093,P-0093.jpg,P-0093_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0094,P-0094,P-0094.jpg,P-0094_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0095,P-0095,P-0095.jpg,P-0095_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0096,P-0096,P-0096.jpg,P-0096_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0097,P-0097,P-0097.jpg,P-0097_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0098,P-0098,P-0098.jpg,P-0098_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0099,P-0099,P-0099.jpg,P-0099_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0100,P-0100,P-0100.jpg,P-0100_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0101,P-0101,P-0101.jpg,P-0101_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0102,P-0102,P-0102.jpg,P-0102_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0103,P-0103,P-0103.jpg,P-0103_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0104,P-0104,P-0104.jpg,P-0104_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0105,P-0105,P-0105.jpg,P-0105_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0106,P-0106,P-0106.jpg,P-0106_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0107,P-0107,P-0107.jpg,P-0107_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0108,P-0108,P-0108.jpg,P-0108_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0109,P-0109,P-0109.jpg,P-0109_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0110,P-0110,P-0110.jpg,P-0110_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0111,P-0111,P-0111.jpg,P-0111_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0112,P-0112,P-0112.jpg,P-0112_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0113,P-0113,P-0113.jpg,P-0113_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0114,P-0114,P-0114.jpg,P-0114_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0115,P-0115,P-0115.jpg,P-0115_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0116,P-0116,P-0116.jpg,P-0116_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0117,P-0117,P-0117.jpg,P-0117_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0118,P-0118,P-0118.jpg,P-0118_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0119,P-0119,P-0119.jpg,P-0119_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0120,P-0120,P-0120.jpg,P-0120_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0121,P-0121,P-0121.jpg,P-0121_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0122,P-0122,P-0122.jpg,P-0122_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0123,P-0123,P-0123.jpg,P-0123_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0124,P-0124,P-0124.jpg,P-0124_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0125,P-0125,P-0125.jpg,P-0125_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0126,P-0126,P-0126.jpg,P-0126_1.jpg,6609,,,READY_FOR_UPLOAD,
