PID,Product Code,Product Name,HSN Code,Part / Group,Barcode,Purchase Price,Retail Price,Discount,CGST,SGST,CESS,Qty. Available,Main Unit,Wholesale Price,MRP,Category,Sub Category / Brand,Last Sold Price,Good Product Qty,Damage Product Qty,Description,Minimum Stock,Sale Tax Type,Purchase Tax Type,Godown,Rack,Batch,Mfg Date,Exp Date,Size,Colour,Def Qty,IMEI-1,IMEI-2,Exact Purchase Price
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1420,145.00,300.00,20.00,0.00,0.00,0.00,2.000,NOS,88.00,435.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,145.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1422,178.00,315.00,20.00,0.00,0.00,0.00,1.000,NOS,99.00,534.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,178.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1423,195.00,350.00,20.00,0.00,0.00,0.00,3.000,NOS,99.00,585.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,195.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1424,215.00,400.00,20.00,0.00,0.00,0.00,1.000,NOS,150.00,645.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,215.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1425,230.00,425.00,20.00,0.00,0.00,0.00,2.000,NOS,177.00,690.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,230.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1426,255.00,450.00,20.00,0.00,0.00,0.00,2.000,NOS,199.00,765.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,255.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1427,308.00,525.00,20.00,0.00,0.00,0.00,2.000,NOS,250.00,924.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,308.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1428,340.00,575.00,20.00,0.00,0.00,0.00,2.000,NOS,300.00,1020.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,340.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1429,370.00,650.00,20.00,0.00,0.00,0.00,1.000,NOS,200.00,1110.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,370.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1431,415.00,700.00,20.00,0.00,0.00,0.00,1.000,NOS,390.00,1245.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,415.00
192,P-0192,Tshirt nikkar(jeans) opening stock,gbb,,1434,219.00,375.00,20.00,0.00,0.00,0.00,1.000,NOS,199.00,657.00,Kids wear(Boys),H/s set,825.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,219.00
179,P-0179,Tshirt pant set opening stock,gbb,,1369,594.00,1000.00,20.00,0.00,0.00,0.00,2.000,NOS,499.00,1782.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,30,,1,,,594.00
179,P-0179,Tshirt pant set opening stock,gbb,,1370,550.00,938.00,20.00,0.00,0.00,0.00,2.000,NOS,499.00,1650.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,550.00
179,P-0179,Tshirt pant set opening stock,gbb,,1371,536.00,925.00,20.00,0.00,0.00,0.00,2.000,NOS,399.00,1625.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,536.00
179,P-0179,Tshirt pant set opening stock,gbb,,1373,519.00,875.00,20.00,0.00,0.00,0.00,2.000,NOS,499.00,1560.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,519.00
179,P-0179,Tshirt pant set opening stock,gbb,,1372,484.00,900.00,20.00,0.00,0.00,0.00,2.000,NOS,499.00,1500.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,484.00
179,P-0179,Tshirt pant set opening stock,gbb,,1376,448.00,775.00,20.00,0.00,0.00,0.00,1.000,NOS,499.00,1470.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,448.00
179,P-0179,Tshirt pant set opening stock,gbb,,1378,437.00,750.00,20.00,0.00,0.00,0.00,3.000,NOS,398.00,1320.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,437.00
179,P-0179,Tshirt pant set opening stock,gbb,,1379,431.00,738.00,20.00,0.00,0.00,0.00,1.000,NOS,499.00,1260.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,431.00
179,P-0179,Tshirt pant set opening stock,gbb,,1380,418.00,715.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1260.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,418.00
179,P-0179,Tshirt pant set opening stock,gbb,,1381,412.00,700.00,20.00,0.00,0.00,0.00,2.000,NOS,399.00,1230.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,412.00
179,P-0179,Tshirt pant set opening stock,gbb,,1383,396.00,675.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1200.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,396.00
179,P-0179,Tshirt pant set opening stock,gbb,,1385,372.00,625.00,20.00,0.00,0.00,0.00,1.000,NOS,400.00,1100.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,372.00
179,P-0179,Tshirt pant set opening stock,gbb,,1386,348.00,600.00,20.00,0.00,0.00,0.00,1.000,NOS,350.00,1050.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,348.00
179,P-0179,Tshirt pant set opening stock,gbb,,1388,322.00,550.00,20.00,0.00,0.00,0.00,2.000,NOS,350.00,960.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,322.00
179,P-0179,Tshirt pant set opening stock,gbb,,1390,294.00,500.00,20.00,0.00,0.00,0.00,1.000,NOS,350.00,882.00,Kids wear(Boys),F/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,294.00
